codigo_submodalidade_v2,modalidade_v2,submodalidade_v2,cliente,origem,modalidade_v1,modalidade_v1_alternativa,modalidade_v1_inferida,regra,ambiguidade
0303,Direitos creditórios descontados,Antecipação de fatura de cartão de crédito,PJ,Sem destinação específica,PJ - Operações com recebíveis,,,base,
0303,Direitos creditórios descontados,Antecipação de fatura de cartão de crédito,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0398,Direitos creditórios descontados,Outros direitos creditórios descontados,PF,Sem destinação específica,PF - Outros créditos,,,base,
0398,Direitos creditórios descontados,Outros direitos creditórios descontados,PF,Com destinação específica,PF - Outros créditos,,,base,
0398,Direitos creditórios descontados,Outros direitos creditórios descontados,PJ,Sem destinação específica,PJ - Operações com recebíveis,,,base,
0398,Direitos creditórios descontados,Outros direitos creditórios descontados,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0399,Direitos creditórios descontados,Outros títulos descontados,PF,Sem destinação específica,PF - Outros créditos,,,base,
0399,Direitos creditórios descontados,Outros títulos descontados,PF,Com destinação específica,PF - Outros créditos,,,base,
0399,Direitos creditórios descontados,Outros títulos descontados,PJ,Sem destinação específica,PJ - Operações com recebíveis,,,base,
0399,Direitos creditórios descontados,Outros títulos descontados,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0401,Financiamentos,Aquisição de bens - veículos automotores,PF,Sem destinação específica,PF - Veículos,,,base,
0401,Financiamentos,Aquisição de bens - veículos automotores,PF,Com destinação específica,PF - Veículos,,,base,
0401,Financiamentos,Aquisição de bens - veículos automotores,PJ,Sem destinação específica,PJ - Investimento,PF - Veículos,,tratamento_2,natureza_nao_publicada
0401,Financiamentos,Aquisição de bens - veículos automotores,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,PF - Veículos,,tratamento_2,natureza_nao_publicada
0402,Financiamentos,Aquisição de bens - outros bens,PF,Sem destinação específica,PF - Outros créditos,,,base,
0402,Financiamentos,Aquisição de bens - outros bens,PF,Com destinação específica,PF - Outros créditos,,,base,
0402,Financiamentos,Aquisição de bens - outros bens,PJ,Sem destinação específica,PJ - Investimento,,,base,
0402,Financiamentos,Aquisição de bens - outros bens,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0403,Financiamentos,Microcrédito,PF,Sem destinação específica,PF - Outros créditos,,,base,
0403,Financiamentos,Microcrédito,PF,Com destinação específica,PF - Outros créditos,,,base,
0403,Financiamentos,Microcrédito,PJ,Sem destinação específica,PJ - Investimento,,,base,
0403,Financiamentos,Microcrédito,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0404,Financiamentos,Vendor,PF,Sem destinação específica,PF - Outros créditos,,,base,
0404,Financiamentos,Vendor,PF,Com destinação específica,PF - Outros créditos,,,base,
0404,Financiamentos,Vendor,PJ,Sem destinação específica,PJ - Operações com recebíveis,,,base,
0404,Financiamentos,Vendor,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0405,Financiamentos,Compror,PF,Sem destinação específica,PF - Outros créditos,,,base,
0405,Financiamentos,Compror,PF,Com destinação específica,PF - Outros créditos,,,base,
0405,Financiamentos,Compror,PJ,Sem destinação específica,PJ - Operações com recebíveis,,,base,
0405,Financiamentos,Compror,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0406,Financiamentos,Cartão de crédito - compra ou fatura parcelada pela instituição financeira emitente do cartão,PF,Sem destinação específica,PF - Cartão de crédito,,,base,
