codigo_submodalidade,codigo_modalidade,modalidade,submodalidade,nome_oficial_modalidade,nome_oficial_submodalidade,definicao,confianca,fonte
0802,08,Financiamentos rurais  (ex-financiamentos rurais e agroindustriais),Investimento,Financiamentos rurais,investimento,"financiamentos concedidos a produtores rurais para investimento, tanto agrícolas quanto pecuários",verbatim,"Instruções 3040, p. 32"
0803,08,Financiamentos rurais  (ex-financiamentos rurais e agroindustriais),Comercialização,Financiamentos rurais,comercialização,"financiamentos concedidos a produtores rurais para comercialização, tanto agrícolas quanto pecuários",verbatim,"Instruções 3040, p. 32"
0804,08,Financiamentos rurais  (ex-financiamentos rurais e agroindustriais),Industrialização,Financiamentos rurais,industrialização,"financiamentos concedidos a produtores rurais para industrialização, tanto agrícolas quanto pecuários.",verbatim,"Instruções 3040, p. 32"
0901,09,Financiamentos imobiliários,Financiamento habitacional - SFH,Financiamentos imobiliários,financiamento habitacional – SFH,financiamento para aquisição ou construção de unidades habitacionais enquadradas no Sistema Financeiro de Habitação - SFH,verbatim,"Instruções 3040, p. 32"
0902,09,Financiamentos imobiliários,Financiamento habitacional  exceto SFH,Financiamentos imobiliários,financiamento habitacional – exceto SFH,financiamento para aquisição ou construção de unidades habitacionais com taxas de juros livremente pactuadas entre a instituição financeira e o mutuário,verbatim,"Instruções 3040, p. 32"
0903,09,Financiamentos imobiliários,"Financiamento imobiliário - empreendim, exceto habitac.",Financiamentos imobiliários,"financiamento imobiliário – empreendim, exceto habitac.",financiamento imobiliário para aquisição ou construção de unidades não habitacionais,verbatim,"Instruções 3040, p. 33"
0990,09,Financiamentos imobiliários,Financiamento de projeto,Financiamentos imobiliários,financiamento de projeto,"financiamento imobiliário não enquadrado nas modalidades anteriores, em que exista vinculação entre o fluxo de caixa gerado pelo projeto e o pagamento da linha de crédito concedida.",verbatim,"Instruções 3040, p. 33"
1001,10,Financiamentos de títulos e valores mobiliários,Financiamento de TVM,Financiamentos de títulos e valores mobiliários,financiamento de TVM,operações lançadas na rubrica 1.6.5.00.00-6 (1.6.5.00.00.00-2 a partir de jan/25),verbatim,"Instruções 3040, p. 33"
1101,11,Financiamentos de infraestrutura e desenvolvimento,Financiamento de infraestrutura e desenvolvimento,Financiamentos de infraestrutura e desenvolvimento,financiamento de infraestrutura e desenvolvimento,operações de crédito contratadas com o objetivo de financiar infraestrutura e desenvolvimento,verbatim,"Instruções 3040, p. 33"
1190,11,Financiamentos de infraestrutura e desenvolvimento,Financiamento de projeto,Financiamentos de infraestrutura e desenvolvimento,financiamento de projeto,"operações de financiamento de infraestrutura e desenvolvimento, contratadas com prazo superior a 360 dias, com vinculação entre o fluxo de caixa gerado pelo projeto e o pagamento da linha de crédito.",verbatim,"Instruções 3040, p. 33"
